Title,Author,Author l-f,My Rating,Binding,Number of Pages,Date Read,Fiction/Non-fiction,Genre,Month,Cumulative Pages
The Good Immigrant,Nikesh Shukla,"Shukla, Nikesh",4,book,272,2017/01/01,Non-fiction,Essays,1,272
Shockaholic,Carrie Fisher,"Fisher, Carrie",4,audiobook,176,2017/01/05,Non-fiction,Memoir,1,448
Wishful Drinking,Carrie Fisher,"Fisher, Carrie",4,audiobook,163,2017/01/08,Non-fiction,Memoir,1,611
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,"Alexie, Sherman",5,audiobook,230,2017/01/09,Fiction,Novel,1,841
Sleepless Nights,Elizabeth Hardwick,"Hardwick, Elizabeth",4,book,128,2017/01/10,Fiction,Novel,1,969
The Sun Is Also a Star,Nicola Yoon,"Yoon, Nicola",4,ebook,384,2017/01/16,Fiction,Young Adult,1,1353
Swing Time,Zadie Smith,"Smith, Zadie",3,book,453,2017/01/17,Fiction,Novel,1,1806
Mom & Me & Mom,Maya Angelou,"Angelou, Maya",4,audiobook,201,2017/01/24,Non-fiction,Memoir,1,2007
Letter to My Daughter,Maya Angelou,"Angelou, Maya",3,ebook,166,2017/01/27,Non-fiction,Memoir,1,2173
The Mothers,Brit Bennett,"Bennett, Brit",4,ebook,286,2017/01/28,Fiction,Novel,1,2459
Virgin and Other Stories,April Ayers Lawson,"Lawson, April Ayers",3,ebook,192,2017/01/29,Fiction,Stories,1,2651
"Delancey: A Man, a Woman, a Restaurant, a Marriage",Molly Wizenberg,"Wizenberg, Molly",3,ebook,241,2017/02/02,Non-fiction,Memoir,2,2892
Homesick for Another World,Ottessa Moshfegh,"Moshfegh, Ottessa",3,book,294,2017/02/05,Fiction,Stories,2,3186
The Princess Diarist,Carrie Fisher,"Fisher, Carrie",3,audiobook,257,2017/02/06,Non-fiction,Memoir,2,3443
What I Know for Sure,Oprah Winfrey,"Winfrey, Oprah",2,audiobook,228,2017/02/08,Non-fiction,Memoir,2,3671
Difficult Women,Roxane Gay,"Gay, Roxane",5,book,272,2017/02/11,Fiction,Stories,2,3943
The Grownup,Gillian Flynn,"Flynn, Gillian",4,ebook,64,2017/02/13,Fiction,Mystery,2,4007
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,"Obama, Barack",3,audiobook,375,2017/02/14,Non-fiction,Politics,2,4382
Another Brooklyn,Jacqueline Woodson,"Woodson, Jacqueline",3,audiobook,177,2017/02/16,Fiction,Novel,2,4559
The Empathy Exams: Essays,Leslie Jamison,"Jamison, Leslie",4,ebook,256,2017/02/19,Non-fiction,Essays,2,4815
Springtime: A Ghost Story,Michelle de Kretser,"Kretser, Michelle de",3,ebook,98,2017/02/20,Fiction,Mystery,2,4913
The Reluctant Fundamentalist,Mohsin Hamid,"Hamid, Mohsin",5,ebook,191,2017/02/20,Fiction,Novel,2,5104
Sunset City,Melissa Ginsburg,"Ginsburg, Melissa",3,ebook,208,2017/02/25,Fiction,Novel,2,5312
How to Get Filthy Rich in Rising Asia,Mohsin Hamid,"Hamid, Mohsin",4,ebook,240,2017/02/26,Fiction,Novel,2,5552
The Price of Admission: How America's Ruling Class Buys Its Way into Elite Colleges--and Who Gets Left Outside the Gates,Daniel Golden,"Golden, Daniel",3,ebook,352,2017/03/03,Non-fiction,Politics,3,5904
How to Make White People Laugh,Negin Farsad,"Farsad, Negin",4,audiobook,256,2017/03/13,Non-fiction,Memoir,3,6160
"Everything, Everything",Nicola Yoon,"Yoon, Nicola",4,ebook,322,2017/03/16,Fiction,Novel,3,6482
Exit West,Mohsin Hamid,"Hamid, Mohsin",4,book,240,2017/03/26,Fiction,Science fiction,3,6722
Re Jane,Patricia  Park,"Park, Patricia",3,ebook,352,2017/03/26,Fiction,Young Adult,3,7074
Lab Girl,Hope Jahren,"Jahren, Hope",4,audiobook,290,2017/03/27,Non-fiction,Memoir,3,7364
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",3,ebook,272,2017/04/01,Non-fiction,Memoir,4,7636
I'm Supposed to Protect You from All This,Nadja Spiegelman,"Spiegelman, Nadja",3,audiobook,372,2017/04/14,Non-fiction,Memoir,4,8008
"Redefining Realness: My Path to Womanhood, Identity, Love & So Much More",Janet Mock,"Mock, Janet",4,audiobook,263,2017/04/21,Non-fiction,Memoir,4,8271
Too Much and Not the Mood,Durga Chew-Bose,"Chew-Bose, Durga",5,book,221,2017/04/22,Non-fiction,Essays,4,8492
"R is for Ricochet (Kinsey Millhone, #18)",Sue Grafton,"Grafton, Sue",3,ebook,380,2017/04/27,Fiction,Mystery,4,8872
"S is for Silence (Kinsey Millhone, #19)",Sue Grafton,"Grafton, Sue",3,ebook,452,2017/04/30,Fiction,Mystery,4,9324
Tell Me Again How a Crush Should Feel,Sara Farizan,"Farizan, Sara",3,ebook,304,2017/05/01,Fiction,Young Adult,5,9628
Dark Matter,Blake Crouch,"Crouch, Blake",3,ebook,342,2017/05/02,Fiction,Science fiction,5,9970
Private Citizens,Tony Tulathimutte,"Tulathimutte, Tony",4,ebook,387,2017/05/02,Fiction,Novel,5,10357
One Day We'll All Be Dead and None of This Will Matter,Scaachi Koul,"Koul, Scaachi",4,book,241,2017/05/04,Non-fiction,Essays,5,10598
Tender Wings of Desire,Harland Sanders,"Sanders, Harland",3,ebook,96,2017/05/05,Fiction,Romance,5,10694
The Border of Paradise: A Novel,Esmé Weijun Wang,"Wang, Esmé Weijun",4,ebook,292,2017/05/12,Fiction,Novel,5,10986
300 Arguments,Sarah Manguso,"Manguso, Sarah",3,ebook,104,2017/05/15,Non-fiction,Essays,5,11090
How to Murder Your Life,Cat Marnell,"Marnell, Cat",3,ebook,384,2017/05/15,Non-fiction,Memoir,5,11474
Vagina: A New Biography,Naomi Wolf,"Wolf, Naomi",2,ebook,400,2017/05/19,Non-fiction,Feminism,5,11874
I'm the One That I Want,Margaret Cho,"Cho, Margaret",3,audiobook,226,2017/05/21,Non-fiction,Memoir,5,12100
Battle Hymn of the Tiger Mother,Amy Chua,"Chua, Amy",4,audiobook,242,2017/05/21,Non-fiction,Memoir,5,12342
